City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Batticaloa,LK,82.13,overcast clouds,7.7102,81.6924,Grand Star Guest House
595,Revelstoke,CA,75.22,haze,50.9832,-118.2023,Best Western Plus Revelstoke
597,Uvira,CD,73.6,few clouds,-3.4067,29.1458,Hotel Suzana
605,Manthani,IN,73.67,overcast clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
608,Wad Madani,SD,80.38,broken clouds,14.4012,33.5199,فندق يوغسلافيا
611,Bud,US,82.38,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
614,Grand-Santi,GF,75.54,light rain,4.25,-54.3833,Hotel La Villa Couacou
617,Pauini,BR,77.47,clear sky,-7.7136,-66.9764,Casa do Kiwliks
619,Zhanaozen,KZ,88.48,overcast clouds,43.3,52.8,K.korabay 28A
621,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
622,Barranquilla,CO,82.18,scattered clouds,10.9639,-74.7964,Hotel Don Jorge
624,Les Cayes,HT,79.68,broken clouds,18.2,-73.75,Villa Orphee
625,Nara,JP,85.91,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
631,Nuevo Progreso,MX,86.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
633,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
635,Chumikan,RU,71.47,broken clouds,54.7183,135.315,Fortuna
637,Buala,SB,83.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
638,Ban Tak,TH,75.94,overcast clouds,17.0432,99.0813,Bansuansiriwat
639,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
640,Domoni,KM,75.24,clear sky,-12.2569,44.5319,Al Djadid
642,Kudahuvadhoo,MV,82.44,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
643,Sisophon,KH,78.1,overcast clouds,13.5859,102.9737,Pyramid Hotel
644,Calatayud,ES,79.07,clear sky,41.3535,-1.6432,Hotel Monasterio Benedictino
647,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
648,Port Lavaca,US,89.58,broken clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
650,Langxiang,CN,82.89,overcast clouds,46.95,128.8833,Pearl Hotel
651,Zhuanghe,CN,79.39,overcast clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
657,Bose,IT,75.74,clear sky,45.4612,8.0137,Locanda Borgo Antico
658,Sibolga,ID,76.87,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
663,Kawalu,ID,73.24,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
667,Smithfield,US,74.25,few clouds,41.922,-71.5495,Hampton Inn & Suites Providence/Smithfield
669,Awbari,LY,83.17,clear sky,26.5921,12.7805,فندق أوباري
