City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Saint-Joseph,RE,7/21/2021 18:06,-21.3667,55.6167,68.38,81,50,18.23
62,Lugo,ES,7/21/2021 18:07,43,-7.5,77.77,74,6,41
63,Taseyevo,RU,7/21/2021 18:07,57.2169,94.8978,61.11,70,88,2.48
64,Khatanga,RU,7/21/2021 18:07,71.9667,102.5,53.51,91,97,5.59
65,Inhambane,MZ,7/21/2021 18:07,-23.865,35.3833,71.35,72,24,6.55
66,Hofn,IS,7/21/2021 18:07,64.2539,-15.2082,59.02,72,0,8.05
67,Cairns,AU,7/21/2021 18:07,-16.9167,145.7667,60.06,95,83,1.14
68,Bonavista,CA,7/21/2021 18:07,48.6499,-53.1147,59.11,90,95,14.41
69,Butaritari,KI,7/21/2021 18:07,3.0707,172.7902,82.09,76,83,10.16
70,Carnarvon,AU,7/21/2021 18:07,-24.8667,113.6333,55.47,67,75,3.44
71,Bethel,US,7/21/2021 18:07,41.3712,-73.414,80.37,70,75,10.36
72,Sabana Grande De Boya,DO,7/21/2021 18:07,18.945,-69.7933,88.3,43,25,8.1
73,Vao,NC,7/21/2021 18:07,-22.6667,167.4833,69.69,73,100,13.2
74,Atar,MR,7/21/2021 18:07,20.5169,-13.0499,108.77,7,70,18.19
75,Port-Cartier,CA,7/21/2021 18:07,50.0334,-66.8654,65.75,53,98,6.62
76,Belogorsk,RU,7/21/2021 18:07,50.9158,128.4611,72.68,90,93,3.4
77,Darnah,LY,7/21/2021 18:07,32.767,22.6367,79.29,78,0,21
78,San Carlos De Bariloche,AR,7/21/2021 18:07,-41.1456,-71.3082,46.15,81,75,4.61
79,Sao Jose Da Coroa Grande,BR,7/21/2021 18:07,-8.8978,-35.1478,77.34,79,45,13.15
80,Calama,CL,7/21/2021 18:07,-22.4667,-68.9333,77.49,5,1,19.57
81,Tacna,PE,7/21/2021 18:07,-18.0056,-70.2483,66.4,56,0,8.05
82,Yellowknife,CA,7/21/2021 18:05,62.456,-114.3525,68.29,77,87,1.01
83,Molln,DE,7/21/2021 18:07,53.6333,10.6833,69.19,67,40,5.75
84,Walvis Bay,NA,7/21/2021 18:07,-22.9575,14.5053,57.09,63,1,16.8
85,Grand-Lahou,CI,7/21/2021 18:07,5.1367,-5.0242,77.81,76,32,7.83
86,Rawson,AR,7/21/2021 18:07,-43.3002,-65.1023,58.17,53,100,20.13
87,Champerico,GT,7/21/2021 18:07,14.3,-91.9167,94.77,70,12,3.69
88,Nikolskoye,RU,7/21/2021 18:07,59.7035,30.7861,64.29,51,54,7.78
89,Kieta,PG,7/21/2021 18:07,-6.2167,155.6333,78.42,86,84,6.13
90,Tasiilaq,GL,7/21/2021 18:07,65.6145,-37.6368,44.76,98,99,4.52
91,Qaanaaq,GL,7/21/2021 18:07,77.484,-69.3632,37.18,98,100,14.88
92,Hirado,JP,7/21/2021 18:07,33.3597,129.5531,79.23,76,100,10.67
93,Faanui,PF,7/21/2021 18:07,-16.4833,-151.75,78.87,77,15,21.05
94,San Patricio,US,7/21/2021 18:07,28.017,-97.5169,91.81,50,17,5.66
95,Yingcheng,CN,7/21/2021 18:07,30.95,113.55,78.1,91,79,4.83
